model,corruption,drive,frame_offset,phase,phase_frame_index,raw_frame_index,frame_name,layer,representation_normalized_l2
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,41,disturbance,1,41,0000000041.png,1,0.7894136905670166
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,41,disturbance,1,41,0000000041.png,2,0.9082992672920227
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,41,disturbance,1,41,0000000041.png,3,0.8676583766937256
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,41,disturbance,1,41,0000000041.png,4,0.904482901096344
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,41,disturbance,1,41,0000000041.png,5,0.9598081707954407
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,42,disturbance,2,42,0000000042.png,1,0.7874444723129272
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,42,disturbance,2,42,0000000042.png,2,0.9115758538246155
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,42,disturbance,2,42,0000000042.png,3,0.8747394680976868
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,42,disturbance,2,42,0000000042.png,4,0.9120430946350098
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,42,disturbance,2,42,0000000042.png,5,0.9839010834693909
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,43,disturbance,3,43,0000000043.png,1,0.7802039384841919
