drive,condition,replicate,window_index,disturbance_start_index,disturbance_stop_index_exclusive,persistence_score,forward_mae_m,yaw_mae_rad,mean_future_blur_sigma,clean_persistence_score,persistence_score_excess_over_clean,clean_forward_mae_m,clean_yaw_mae_rad,forward_mae_degradation_m,yaw_mae_degradation_rad
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,2,7,56,64,-0.12326187686994672,0.09341363981366158,0.02076451131142676,1.125,-0.08953315985854715,-0.03372871701139957,0.09383781626820564,0.018893282511271536,-0.0004241764545440674,0.0018712288001552224
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,2,8,64,72,-0.11658873874694109,0.031657636165618896,0.025278103072196245,1.5,-0.10838320106267929,-0.008205537684261799,0.05127889662981033,0.02825573179870844,-0.019621260464191437,-0.0029776287265121937
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,2,9,72,80,-0.10576771199703217,0.01858390122652054,0.02503577689640224,1.5,-0.10606945911422372,0.0003017471171915531,0.03941194713115692,0.03711269982159138,-0.020828045904636383,-0.012076922925189137
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,3,0,0,8,-0.20063966047018766,0.1511502005159855,0.018906479235738516,3.0,-0.13850022293627262,-0.06213943753391504,0.17922906205058098,0.020257344003766775,-0.02807886153459549,-0.0013508647680282593
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,3,1,8,16,-0.1782806608825922,0.17155831307172775,0.016185226966626942,3.0,-0.11989801283925772,-0.058382648043334484,0.18278007954359055,0.02471963409334421,-0.011221766471862793,-0.00853440712671727
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,3,2,16,24,-0.17584626656025648,0.17462673038244247,0.013333313982002437,1.875,-0.170837190002203,-0.0050090765580534935,0.16541700810194016,0.02547515695914626,0.00920972228050232,-0.012141842977143824
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,3,3,24,32,-0.1696221912279725,0.1377258040010929,0.011464937124401331,0.75,-0.17478450015187263,0.005162308923900127,0.1292802132666111,0.01825385307893157,0.008445590734481812,-0.006788915954530239
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,3,4,32,40,-0.19004589319229126,0.133230060338974,0.00272607640363276,0.75,-0.1690838821232319,-0.020962011069059372,0.14052680879831314,0.004918642807751894,-0.007296748459339142,-0.002192566404119134
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,3,5,40,48,-0.17469777539372444,0.15459882840514183,0.012108230614103377,1.5,-0.0985110211186111,-0.07618675427511334,0.181673776358366,0.0033321091905236244,-0.027074947953224182,0.008776121423579752
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,3,6,48,56,-0.11688609258271754,0.13938157632946968,0.015767335891723633,1.5,-0.032826286857016385,-0.08405980572570115,0.1641913540661335,0.008697280660271645,-0.02480977773666382,0.007070055231451988
