method,causal,split,drive,camera,sample_index,previous_raw_frame_index,origin_raw_frame_index,target_raw_frame_index,previous_frame_name,origin_frame_name,target_frame_name,stage,stage_channels,stage_height,stage_width,stage_stride_input_pixels,horizon_frames,horizon_seconds,radius_cells,radius_input_pixels,patch_size,copy_mse,result_mse,copy_minus_result_mse,copy_minus_result_over_copy,matching_patch_mse,nonzero_motion_fraction,mean_motion_magnitude_cells,coverage_fraction,collision_fraction
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,6,6,7,10,0000000006.png,0000000007.png,0000000010.png,stage5,512,14,14,16,3,0.3105,1,16,3,0.11854223161935806,0.0890357494354248,0.029506482183933258,0.24891114234924316,0.07607945799827576,0.6887754797935486,0.7035688757896423,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,7,7,8,11,0000000007.png,0000000008.png,0000000011.png,stage5,512,14,14,16,3,0.3105,1,16,3,0.17404671013355255,0.12716436386108398,0.04688234627246857,0.26936647295951843,0.11368905007839203,0.6479591727256775,0.65218585729599,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,4,4,5,8,0000000004.png,0000000005.png,0000000008.png,stage5,512,14,14,16,3,0.3105,2,32,1,0.1484358012676239,0.09519819915294647,0.05323760211467743,0.3586574196815491,0.09519819915294647,0.84183669090271,1.1093791723251343,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,5,5,6,9,0000000005.png,0000000006.png,0000000009.png,stage5,512,14,14,16,3,0.3105,2,32,1,0.1469687968492508,0.09699072688817978,0.049978069961071014,0.3400590419769287,0.09699072688817978,0.8265305757522583,1.0433369874954224,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,6,6,7,10,0000000006.png,0000000007.png,0000000010.png,stage5,512,14,14,16,3,0.3105,2,32,1,0.11854223161935806,0.07626146823167801,0.042280763387680054,0.35667258501052856,0.07626146823167801,0.7448979616165161,0.9972460865974426,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,7,7,8,11,0000000007.png,0000000008.png,0000000011.png,stage5,512,14,14,16,3,0.3105,2,32,1,0.17404671013355255,0.10146798938512802,0.07257872074842453,0.4170071482658386,0.10146798938512802,0.7857142686843872,1.0728565454483032,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,4,4,5,8,0000000004.png,0000000005.png,0000000008.png,stage5,512,14,14,16,3,0.3105,2,32,3,0.1484358012676239,0.10557598620653152,0.04285981506109238,0.28874310851097107,0.09056343883275986,0.75,0.8928571343421936,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,5,5,6,9,0000000005.png,0000000006.png,0000000009.png,stage5,512,14,14,16,3,0.3105,2,32,3,0.1469687968492508,0.10838973522186279,0.038579061627388,0.26249831914901733,0.09242507070302963,0.7806122303009033,0.8634493350982666,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,6,6,7,10,0000000006.png,0000000007.png,0000000010.png,stage5,512,14,14,16,3,0.3105,2,32,3,0.11854223161935806,0.08371897041797638,0.03482326120138168,0.2937625050544739,0.0747256726026535,0.714285671710968,0.8478924036026001,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,7,7,8,11,0000000007.png,0000000008.png,0000000011.png,stage5,512,14,14,16,3,0.3105,2,32,3,0.17404671013355255,0.11115444451570511,0.06289226561784744,0.361352801322937,0.10334174335002899,0.6581632494926453,0.8484722375869751,1.0,0.0
