drive,condition,replicate,window_index,disturbance_start_index,disturbance_stop_index_exclusive,classification_label,mean_future_blur_sigma,mean_absolute_sigma_change,prediction_error_l2,prediction_error_l2_ema,prediction_error_cosine_previous,prediction_error_temporal_variance
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,1,5,40,48,0,1.78125,1.125,110.89725589752197,104.82451127324676,-0.22351253032684326,0.12176872231066227
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,1,6,48,56,0,1.96875,1.03125,109.67371416091919,104.6511179585572,-0.2603849659790285,0.10873462166637182
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,1,7,56,64,0,2.0625,0.84375,87.85900354385376,96.70187143583846,-0.2790319330524653,0.09984087012708187
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,1,8,64,72,0,1.875,1.125,103.18224334716797,103.87844831096984,-0.3587180911563337,0.117870700545609
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,1,9,72,80,0,1.875,0.84375,78.74221324920654,86.33871787804111,-0.2880903189070523,0.07910360815003514
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,2,0,0,8,0,1.875,1.40625,119.34860324859619,113.9135751232981,-0.4234649724967312,0.1377434516325593
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,2,1,8,16,0,1.875,0.75,100.39465713500977,103.25053174690017,-0.2944738182704896,0.10449346620589495
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,2,2,16,24,0,1.96875,0.65625,82.01915788650513,91.43544369574997,-0.19652035157196224,0.08796562254428864
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,2,3,24,32,0,1.6875,1.21875,120.87691879272461,104.27094140219972,-0.22698039934039116,0.11725470330566168
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,2,4,32,40,0,1.78125,0.65625,101.40016651153564,110.18215841236011,-0.2874702550470829,0.13811858091503382
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,2,5,40,48,0,1.78125,1.125,110.02376365661621,104.96690342901836,-0.355621833819896,0.10758810583502054
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,2,6,48,56,0,1.59375,1.03125,113.36222648620605,107.63580808123947,-0.2972763702273369,0.12276563048362732
2011_09_26/2011_09_26_drive_0011_sync,shuffled_blur,2,7,56,64,0,2.0625,1.40625,117.13462018966675,122.60465178854213,-0.4631142813595943,0.16500736214220524
