drive,corruption,condition,replicate,window_index,disturbance_start_index,disturbance_stop_index_exclusive,classification_label,mean_future_severity,instant_error_rms,simple_scalar_ema_error_rms,dynamic_error_state_rms,matched_tensor_ema_error_rms
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,0,4,32,40,0,0.625,1.0968106728615101,1.045910645028371,0.2865131084992112,0.2865131084992112
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,0,5,40,48,0,0.6875,0.961634524704905,1.0014653859636347,0.29309128574298327,0.29309128574298327
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,0,6,48,56,0,0.59375,0.998573077461139,0.9948523040236376,0.3111559733071135,0.3111559733071135
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,0,7,56,64,0,0.53125,1.0283556776008766,1.026003094551393,0.3260082029460759,0.3260082029460759
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,0,8,64,72,0,0.78125,0.8660627676822802,0.9339622875584705,0.2798862786660328,0.2798862786660328
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,0,9,72,80,0,0.5,0.8606883540962946,0.8687826089084096,0.27736156829137043,0.27736156829137043
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,1,0,0,8,0,0.46875,0.9415685275452661,0.9297232063042302,0.25815134030097747,0.25815134030097747
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,1,1,8,16,0,0.75,1.0002929074614115,0.9941861466095122,0.2642516221596489,0.2642516221596489
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,1,2,16,24,0,0.5625,0.9706278545449833,0.9777328846875548,0.2580798412381618,0.2580798412381618
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,1,3,24,32,0,0.75,0.940913845869773,0.9404211019847376,0.2591745883350985,0.2591745883350985
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,1,4,32,40,0,0.5,1.0238122352918904,1.0003251371017945,0.2908411775007157,0.2908411775007157
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,1,5,40,48,0,0.6875,1.0106827263584093,1.0119127393900873,0.2920115227324749,0.2920115227324749
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,1,6,48,56,0,0.71875,1.003705423576051,1.0010789480857263,0.3053306787041793,0.3053306787041793
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,1,7,56,64,0,0.65625,1.0160932221297718,1.007029500791286,0.32370097931887504,0.32370097931887504
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,1,8,64,72,0,0.53125,0.8918051039615795,0.9458708438615964,0.2857266104681221,0.2857266104681221
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,1,9,72,80,0,0.625,0.8868762189878006,0.8905449724080408,0.2730223737088286,0.2730223737088286
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,2,0,0,8,0,0.71875,0.9473751592276588,0.9366555436099866,0.2556636995302287,0.2556636995302287
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,2,1,8,16,0,0.5,1.0231692782992683,0.9953546985222248,0.2718549465156764,0.2718549465156764
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,2,2,16,24,0,0.5625,0.9460207851950323,0.9598865689911543,0.2547432324929735,0.2547432324929735
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,2,3,24,32,0,0.75,0.9864083050868204,0.9703574345733229,0.26291413898499455,0.26291413898499455
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,2,4,32,40,0,0.625,1.0363911559690395,1.0357554826844362,0.2855502468246702,0.2855502468246702
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,2,5,40,48,0,0.5625,0.9885210997524079,1.0025437295481632,0.29354930186142647,0.29354930186142647
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,2,6,48,56,0,0.71875,1.0324380047042137,1.0078569406221785,0.3077220359874541,0.3077220359874541
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,2,7,56,64,0,0.53125,1.0441000216660576,1.0545662333469314,0.3269235243036661,0.3269235243036661
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,2,8,64,72,0,0.53125,0.841417020910758,0.9139007146261866,0.28606938150791195,0.28606938150791195
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,2,9,72,80,0,0.75,0.8704600407605803,0.8672402843474118,0.27252723093595055,0.27252723093595055
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,3,0,0,8,0,0.71875,0.9780799177031986,0.9579644329378285,0.25704950173759356,0.25704950173759356
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,3,1,8,16,0,0.5,0.9856050722529469,0.9841487079975841,0.26927933689729305,0.26927933689729305
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,3,2,16,24,0,0.6875,0.9138434678976529,0.9325490391136082,0.25291891182737003,0.25291891182737003
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,shuffled,3,3,24,32,0,0.5,0.9857290069525236,0.9619854296427188,0.2707309978607657,0.2707309978607657
