drive,corruption,condition,replicate,stream_index,sample_index,current_raw_frame_index,future_raw_frame_index,current_frame_name,future_frame_name,phase,disturbance_index,classification_included,classification_label,current_severity,future_severity,future_feature_stage,error_definition,dynamic_error_definition,temporal_error_state_update_index,dynamic_formula_max_abs,instant_error_rms,simple_scalar_ema_error_rms,matched_tensor_ema_error_rms,dynamic_error_state_rms,dynamic_minus_matched_tensor_ema_max_abs
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,44,44,44,45,0000000044.png,0000000045.png,disturbance,4,True,1,0.25,0.25,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),45,0.0,0.7519640240560574,0.7992478304128374,0.24119736173781878,0.24119736173781878,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,45,45,45,46,0000000045.png,0000000046.png,disturbance,5,True,1,0.25,0.25,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),46,0.0,0.7432899318378084,0.7876645454078064,0.23793374189180047,0.23793374189180047,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,46,46,46,47,0000000046.png,0000000047.png,disturbance,6,True,1,0.25,0.25,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),47,0.0,0.7429668951964065,0.7784121318140466,0.2361869863457607,0.2361869863457607,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,47,47,47,48,0000000047.png,0000000048.png,disturbance,7,True,1,0.25,0.25,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),48,0.0,0.7359392672313035,0.7696202488454188,0.24023325074715896,0.24023325074715896,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,48,48,48,49,0000000048.png,0000000049.png,disturbance,8,True,1,0.25,0.25,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),49,0.0,0.7928736587409628,0.7744337046937964,0.24432738218263494,0.24432738218263494,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,49,49,49,50,0000000049.png,0000000050.png,disturbance,9,True,1,0.25,0.25,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),50,0.0,0.8038809354334907,0.7805292814569131,0.24327814727402067,0.24327814727402067,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,50,50,50,51,0000000050.png,0000000051.png,disturbance,10,True,1,0.25,0.25,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),51,0.0,0.7988054416858915,0.7843124466243117,0.23948100053788327,0.23948100053788327,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,51,51,51,52,0000000051.png,0000000052.png,disturbance,11,True,1,0.25,0.25,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),52,0.0,0.7896476313463994,0.7854168298617838,0.23955234382452562,0.23955234382452562,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,52,52,52,53,0000000052.png,0000000053.png,disturbance,12,True,1,0.25,0.25,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),53,0.0,0.8610638755914167,0.8010757683278178,0.24789978532189402,0.24789978532189402,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,53,53,53,54,0000000053.png,0000000054.png,disturbance,13,True,1,0.25,0.25,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),54,0.0,0.8708552560069773,0.8155201222774038,0.24739913018020906,0.24739913018020906,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,54,54,54,55,0000000054.png,0000000055.png,disturbance,14,True,1,0.25,0.25,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),55,0.0,0.7389735855910301,0.7996749891833244,0.2414441930710671,0.2414441930710671,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,55,55,55,56,0000000055.png,0000000056.png,disturbance,15,True,1,0.25,0.25,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),56,0.0,0.695910464559472,0.778195732586187,0.23171521798269562,0.23171521798269562,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,56,56,56,57,0000000056.png,0000000057.png,disturbance,16,True,1,0.25,0.25,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),57,0.0,0.709219144933254,0.7639175789420299,0.2265064071408001,0.2265064071408001,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,57,57,57,58,0000000057.png,0000000058.png,disturbance,17,True,1,0.25,0.25,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),58,0.0,0.6813387489256032,0.7468237611286297,0.22867352988449388,0.22867352988449388,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,58,58,58,59,0000000058.png,0000000059.png,disturbance,18,True,1,0.25,0.25,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),59,0.0,0.6937232338836766,0.7358319519889245,0.23041009156472847,0.23041009156472847,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,59,59,59,60,0000000059.png,0000000060.png,disturbance,19,True,1,0.25,0.25,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),60,0.0,0.6921829344037008,0.7267966053487833,0.23597616201012203,0.23597616201012203,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,60,60,60,61,0000000060.png,0000000061.png,disturbance,20,True,1,0.25,0.5,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),61,0.0,0.8333701880570571,0.748857336969396,0.22093354071882887,0.22093354071882887,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,61,61,61,62,0000000061.png,0000000062.png,disturbance,21,True,1,0.5,0.5,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),62,0.0,0.6085882242953325,0.7198216306458649,0.2138745380688689,0.2138745380688689,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,62,62,62,63,0000000062.png,0000000063.png,disturbance,22,True,1,0.5,0.5,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),63,0.0,0.5735906682234327,0.6895518214244215,0.2144346069373153,0.2144346069373153,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,63,63,63,64,0000000063.png,0000000064.png,disturbance,23,True,1,0.5,0.5,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),64,0.0,0.5923861097576721,0.6694385191094043,0.2188029480614147,0.2188029480614147,0.0
