split,drive,camera,sample_index,previous_raw_frame_index,origin_raw_frame_index,target_raw_frame_index,previous_frame_name,origin_frame_name,target_frame_name,stage,stage_channels,stage_height,stage_width,stage_stride_input_pixels,horizon_frames,horizon_seconds,copy_mse,velocity_mse,oracle_translation_mse,copy_minus_velocity_mse,copy_minus_velocity_over_copy,copy_minus_oracle_mse,copy_minus_oracle_over_copy,adjacent_delta_cosine,oracle_shift_dy_cells,oracle_shift_dx_cells
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,97,97,98,100,0000000097.png,0000000098.png,0000000100.png,stage3,256,56,56,4,2,0.207,18.851970672607422,119.32071685791016,18.461631774902344,-100.46875,-5.329349994659424,0.3903388977050781,0.020705468952655792,-0.45211610198020935,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,98,98,99,101,0000000098.png,0000000099.png,0000000101.png,stage3,256,56,56,4,2,0.207,18.5870361328125,120.4315414428711,17.96002960205078,-101.8445053100586,-5.479330062866211,0.6270065307617188,0.033733539283275604,-0.44729721546173096,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,99,99,100,102,0000000099.png,0000000100.png,0000000102.png,stage3,256,56,56,4,2,0.207,17.647354125976562,118.13898468017578,16.84520149230957,-100.49163055419922,-5.694430351257324,0.8021526336669922,0.04545455425977707,-0.4457077980041504,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,96,96,97,100,0000000096.png,0000000097.png,0000000100.png,stage3,256,56,56,4,3,0.3105,18.80194854736328,214.928466796875,18.741451263427734,-196.12652587890625,-10.431180953979492,0.060497283935546875,0.0032176070380955935,-0.44539564847946167,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,97,97,98,101,0000000097.png,0000000098.png,0000000101.png,stage3,256,56,56,4,3,0.3105,18.957406997680664,220.27597045898438,18.72045135498047,-201.3185577392578,-10.61952018737793,0.2369556427001953,0.0124993696808815,-0.45211610198020935,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,98,98,99,102,0000000098.png,0000000099.png,0000000102.png,stage3,256,56,56,4,3,0.3105,18.43473243713379,222.87098693847656,18.117919921875,-204.43624877929688,-11.08973217010498,0.31681251525878906,0.01718563213944435,-0.44729721546173096,-1,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,99,99,100,103,0000000099.png,0000000100.png,0000000103.png,stage3,256,56,56,4,3,0.3105,18.122257232666016,220.1340789794922,17.88829231262207,-202.01182556152344,-11.147167205810547,0.2339649200439453,0.012910363264381886,-0.4457077980041504,-1,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,96,96,97,102,0000000096.png,0000000097.png,0000000102.png,stage3,256,56,56,4,5,0.5175,18.656803131103516,508.6689147949219,18.51498031616211,-490.0121154785156,-26.2645263671875,0.14182281494140625,0.007601667661219835,-0.44539564847946167,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,97,97,98,103,0000000097.png,0000000098.png,0000000103.png,stage3,256,56,56,4,5,0.5175,19.16643714904785,520.4765625,19.138206481933594,-501.31011962890625,-26.155624389648438,0.028230667114257812,0.0014729220420122147,-0.45211610198020935,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,98,98,99,104,0000000098.png,0000000099.png,0000000104.png,stage3,256,56,56,4,5,0.5175,18.74422264099121,530.351806640625,18.74422264099121,-511.6075744628906,-27.294147491455078,0.0,0.0,-0.44729721546173096,0,0
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,99,99,100,105,0000000099.png,0000000100.png,0000000105.png,stage3,256,56,56,4,5,0.5175,18.23920440673828,525.4859008789062,18.23920440673828,-507.2467041015625,-27.810791015625,0.0,0.0,-0.4457077980041504,0,0
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,96,96,97,98,0000000096.png,0000000097.png,0000000098.png,stage4,512,28,28,8,1,0.1035,3.0542092323303223,7.846547603607178,1.8868680000305176,-4.7923383712768555,-1.5690929889678955,1.1673412322998047,0.38220736384391785,-0.3346099257469177,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,97,97,98,99,0000000097.png,0000000098.png,0000000099.png,stage4,512,28,28,8,1,0.1035,3.128096580505371,8.17860221862793,2.010500192642212,-5.050505638122559,-1.614561915397644,1.1175963878631592,0.3572768270969391,-0.32292795181274414,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,98,98,99,100,0000000098.png,0000000099.png,0000000100.png,stage4,512,28,28,8,1,0.1035,3.1454966068267822,8.384875297546387,1.8694971799850464,-5.239378929138184,-1.665676236152649,1.2759994268417358,0.40565913915634155,-0.33653610944747925,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,99,99,100,101,0000000099.png,0000000100.png,0000000101.png,stage4,512,28,28,8,1,0.1035,2.986518383026123,8.058380126953125,1.624303936958313,-5.071861743927002,-1.6982523202896118,1.36221444606781,0.4561212360858917,-0.3142545819282532,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,96,96,97,99,0000000096.png,0000000097.png,0000000099.png,stage4,512,28,28,8,2,0.207,4.186008453369141,20.99615478515625,3.7584564685821533,-16.81014633178711,-4.015793800354004,0.4275519847869873,0.10213834792375565,-0.3346099257469177,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,97,97,98,100,0000000097.png,0000000098.png,0000000100.png,stage4,512,28,28,8,2,0.207,4.1623101234436035,22.077476501464844,3.6473605632781982,-17.9151668548584,-4.304140090942383,0.5149495601654053,0.12371724843978882,-0.32292795181274414,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,98,98,99,101,0000000098.png,0000000099.png,0000000101.png,stage4,512,28,28,8,2,0.207,4.205648899078369,22.748912811279297,3.5585787296295166,-18.543264389038086,-4.409132957458496,0.6470701694488525,0.15385739505290985,-0.33653610944747925,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,99,99,100,102,0000000099.png,0000000100.png,0000000102.png,stage4,512,28,28,8,2,0.207,3.8540194034576416,22.164316177368164,3.1930160522460938,-18.3102970123291,-4.7509613037109375,0.6610033512115479,0.17151013016700745,-0.3142545819282532,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,96,96,97,100,0000000096.png,0000000097.png,0000000100.png,stage4,512,28,28,8,3,0.3105,4.367353439331055,38.480228424072266,4.215612888336182,-34.112876892089844,-7.810880661010742,0.15174055099487305,0.03474428132176399,-0.3346099257469177,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,97,97,98,101,0000000097.png,0000000098.png,0000000101.png,stage4,512,28,28,8,3,0.3105,4.318305015563965,40.6119499206543,4.143115520477295,-36.293643951416016,-8.404603958129883,0.17518949508666992,0.040569040924310684,-0.32292795181274414,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,98,98,99,102,0000000098.png,0000000099.png,0000000102.png,stage4,512,28,28,8,3,0.3105,4.135360240936279,41.4352912902832,3.855276584625244,-37.299930572509766,-9.019753456115723,0.28008365631103516,0.06772895902395248,-0.33653610944747925,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,99,99,100,103,0000000099.png,0000000100.png,0000000103.png,stage4,512,28,28,8,3,0.3105,4.050332069396973,41.20835494995117,3.819239377975464,-37.158023834228516,-9.174068450927734,0.2310926914215088,0.05705524608492851,-0.3142545819282532,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,96,96,97,102,0000000096.png,0000000097.png,0000000102.png,stage4,512,28,28,8,5,0.5175,4.281675815582275,89.47480773925781,4.090391159057617,-85.19313049316406,-19.897146224975586,0.1912846565246582,0.044675182551145554,-0.3346099257469177,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,97,97,98,103,0000000097.png,0000000098.png,0000000103.png,stage4,512,28,28,8,5,0.5175,4.399292469024658,95.79376220703125,4.104203224182129,-91.39447021484375,-20.774810791015625,0.2950892448425293,0.06707652658224106,-0.32292795181274414,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,98,98,99,104,0000000098.png,0000000099.png,0000000104.png,stage4,512,28,28,8,5,0.5175,4.339345932006836,97.74323272705078,4.049481391906738,-93.40388488769531,-21.52487564086914,0.28986454010009766,0.06679913401603699,-0.33653610944747925,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,99,99,100,105,0000000099.png,0000000100.png,0000000105.png,stage4,512,28,28,8,5,0.5175,4.190402507781982,97.23973083496094,4.067679405212402,-93.04933166503906,-22.205345153808594,0.12272310256958008,0.029286710545420647,-0.3142545819282532,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,96,96,97,98,0000000096.png,0000000097.png,0000000098.png,stage5,512,14,14,16,1,0.1035,0.15231090784072876,0.2867272198200226,0.1261868178844452,-0.13441631197929382,-0.8825126886367798,0.02612408995628357,0.17151817679405212,-0.05227552726864815,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,97,97,98,99,0000000097.png,0000000098.png,0000000099.png,stage5,512,14,14,16,1,0.1035,0.1529417186975479,0.3300298750400543,0.13506977260112762,-0.1770881563425064,-1.1578799486160278,0.017871946096420288,0.11685461550951004,-0.08116979897022247,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,98,98,99,100,0000000098.png,0000000099.png,0000000100.png,stage5,512,14,14,16,1,0.1035,0.14266721904277802,0.31747403740882874,0.14149776101112366,-0.17480681836605072,-1.2252767086029053,0.001169458031654358,0.008197103627026081,-0.07401104271411896,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,99,99,100,101,0000000099.png,0000000100.png,0000000101.png,stage5,512,14,14,16,1,0.1035,0.15846508741378784,0.35004791617393494,0.13509885966777802,-0.1915828287601471,-1.2089908123016357,0.023366227746009827,0.14745347201824188,-0.16266292333602905,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,96,96,97,99,0000000096.png,0000000097.png,0000000099.png,stage5,512,14,14,16,2,0.207,0.2804754078388214,0.8670398592948914,0.19622588157653809,-0.5865644216537476,-2.091322183609009,0.08424952626228333,0.3003811538219452,-0.05227552726864815,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,97,97,98,100,0000000097.png,0000000098.png,0000000100.png,stage5,512,14,14,16,2,0.207,0.2737438380718231,0.9869893789291382,0.19194291532039642,-0.7132455110549927,-2.6055216789245605,0.0818009227514267,0.29882287979125977,-0.08116979897022247,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,98,98,99,101,0000000098.png,0000000099.png,0000000101.png,stage5,512,14,14,16,2,0.207,0.2522166967391968,0.945935845375061,0.17053133249282837,-0.6937191486358643,-2.750488519668579,0.08168536424636841,0.3238697648048401,-0.07401104271411896,0,-1
